🇨🇳电视频道,#genre#
CCTV1-综合,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQXc5Y0d6M2g4UDRTRG93RlpyOWU5UFdpYmZZNHdvUWN3cnUzRW1iZktQYXg4bzduOVdRTGphOCt2ZTFvMjNKdy8=&pw=wz
CCTV1-综合,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQVlNSngza2lyekRtSWRwUjlXZjE0ZjJpYmZZNHdvUWN3cnUzRW1iZktQYXg4bzduOVdRTGphOCt2ZTFvMjNKdy8=&pw=wz
CCTV1-综合,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQVhnQVB5MW5yOE56ckdGRHEyazhBRyt0blhLYXVqZTdVR0R3R3JkT1NmMDBRbERaTERoTU02WEtNWngreWZadjA=&pw=wz
CCTV1-综合,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQU1LMmo0VzByOWNHbWFjcWlVdHlEMmh5a3NSajgzUjh1Y2NpczU1MmRScVNObmR4NEl6TVNvTFE0cEZlRVF4ZExYSUlzb0dBYk50TmdMSTdLVG0vaHVBPT0=&pw=wz
CCTV1-综合,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQXArQ1dHa25JUmcxQUJrTVdVZklYRWh5a3NSajgzUjh1Y2NpczU1MmRScVNObmR4NEl6TVNvTFE0cEZlRVF4ZExYSUlzb0dBYk50TmdMSTdLVG0vaHVBPT0=&pw=wz
CCTV1-综合,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQU04a0l1RCtPWFBXeWhRSUZuT2lDNWh5a3NSajgzUjh1Y2NpczU1MmRScVNObmR4NEl6TVNvTFE0cEZlRVF4ZExYSUlzb0dBYk50TmdMSTdLVG0vaHVBPT0=&pw=wz
CCTV2-财经,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQW05Q3ZyY0dqQlJibUpORkUyZlN1MW1pYmZZNHdvUWN3cnUzRW1iZktQYXg4bzduOVdRTGphOCt2ZTFvMjNKdy8=&pw=wz
CCTV2-财经,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQUgwZ1BieGppT0lSQ3cwT0pSNXg5bXV0blhLYXVqZTdVR0R3R3JkT1NmMDBRbERaTERoTU02WEtNWngreWZadjA=&pw=wz
CCTV2-财经,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQUJOUUR3K2kzZzdsWGhNNE40ZEl1eUJ5a3NSajgzUjh1Y2NpczU1MmRScVNObmR4NEl6TVNvTFE0cEZlRVF4ZExYSUlzb0dBYk50TmdMSTdLVG0vaHVBPT0=&pw=wz
CCTV3-综艺,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQXVMQXYzYVBBSUpkVjhtMGswem9ocTJpYmZZNHdvUWN3cnUzRW1iZktQYXg4bzduOVdRTGphOCt2ZTFvMjNKdy8=&pw=wz
CCTV3-综艺,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQStRbHlyWHc1V3l5VjVZUUdyUXhLN2V0blhLYXVqZTdVR0R3R3JkT1NmMDBRbERaTERoTU02WEtNWngreWZadjA=&pw=wz
CCTV3-综艺,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQWRuZ25FeFRKTXFabXRZR01WOThGZHh5a3NSajgzUjh1Y2NpczU1MmRScVNObmR4NEl6TVNvTFE0cEZlRVF4ZExYSUlzb0dBYk50TmdMSTdLVG0vaHVBPT0=&pw=wz
CCTV4-国际,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQUkvTGZmTm43K3JsZ29WbHVEdjk5L21pYmZZNHdvUWN3cnUzRW1iZktQYXg4bzduOVdRTGphOCt2ZTFvMjNKdy8=&pw=wz
CCTV4-国际,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQWpxT0k4dmVPNTVqS2MyU0N6VExQSHV0blhLYXVqZTdVR0R3R3JkT1NmMDBRbERaTERoTU02WEtNWngreWZadjA=&pw=wz
CCTV4-国际,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQU55dk9iYVM4Wmlvc3J4TmRsWHQ4SlJ5a3NSajgzUjh1Y2NpczU1MmRScVNObmR4NEl6TVNvTFE0cEZlRVF4ZExYSUlzb0dBYk50TmdMSTdLVG0vaHVBPT0=&pw=wz
CCTV5-体育,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQWtHNkpiSG4wcXYvZWpKcTVMK1dJZkdpYmZZNHdvUWN3cnUzRW1iZktQYXg4bzduOVdRTGphOCt2ZTFvMjNKdy8=&pw=wz
CCTV5-体育,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQUVqNlh0RlJwWC84Ti9DWktySUJXMSt0blhLYXVqZTdVR0R3R3JkT1NmMDBRbERaTERoTU02WEtNWngreWZadjA=&pw=wz
CCTV5-体育,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQXZRc3hmRXBmVTJWREg1QXo3S2t3Y3h5a3NSajgzUjh1Y2NpczU1MmRScVNObmR4NEl6TVNvTFE0cEZlRVF4ZExYSUlzb0dBYk50TmdMSTdLVG0vaHVBPT0=&pw=wz
CCTV5+体育赛事,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQUlMM2M4clpwdUQ4aC9relQ4dWpJaUdpYmZZNHdvUWN3cnUzRW1iZktQYXg4bzduOVdRTGphOCt2ZTFvMjNKdy8=&pw=wz
CCTV5+体育赛事,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQTNEK0lUTVdxRkltcWhyc0pLOHNnUXV0blhLYXVqZTdVR0R3R3JkT1NmMDBRbERaTERoTU02WEtNWngreWZadjA=&pw=wz
CCTV5+体育赛事,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQWcxY0dSL1Z2TmFIbmJ3RXhIcERXamh5a3NSajgzUjh1Y2NpczU1MmRScVNObmR4NEl6TVNvTFE0cEZlRVF4ZExYSUlzb0dBYk50TmdMSTdLVG0vaHVBPT0=&pw=wz
CCTV6-电影,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQTV3WXhwdE1VT056UXQ4WUtEcmtycEdpYmZZNHdvUWN3cnUzRW1iZktQYXg4bzduOVdRTGphOCt2ZTFvMjNKdy8=&pw=wz
CCTV6-电影,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQWFoWUw5SzMyNWM5a1lMbU9oSENkTnV0blhLYXVqZTdVR0R3R3JkT1NmMDBRbERaTERoTU02WEtNWngreWZadjA=&pw=wz
CCTV6-电影,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQVJNYXdxN3pyWXRiL21jNlNYWDJjc3h5a3NSajgzUjh1Y2NpczU1MmRScVNObmR4NEl6TVNvTFE0cEZlRVF4ZExYSUlzb0dBYk50TmdMSTdLVG0vaHVBPT0=&pw=wz
CCTV7-军农,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQXAvTE1BNm4yczAyK1pUaDdqQitxQ21pYmZZNHdvUWN3cnUzRW1iZktQYXg4bzduOVdRTGphOCt2ZTFvMjNKdy8=&pw=wz
CCTV7-军农,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQUJTYnhDeWxZWWxUY1BjMytLdWZJOU90blhLYXVqZTdVR0R3R3JkT1NmMDBRbERaTERoTU02WEtNWngreWZadjA=&pw=wz
CCTV7-军农,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQW94bEN0VVZRbkVtUmRCcm5jVTNDekJ5a3NSajgzUjh1Y2NpczU1MmRScVNObmR4NEl6TVNvTFE0cEZlRVF4ZExYSUlzb0dBYk50TmdMSTdLVG0vaHVBPT0=&pw=wz
CCTV8-电视剧,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQXBHbmFEVzVRc1VFdm1XaXFjSHMwNG1pYmZZNHdvUWN3cnUzRW1iZktQYXg4bzduOVdRTGphOCt2ZTFvMjNKdy8=&pw=wz
CCTV8-电视剧,http://039c0a88-9e1a-4171-a785-4734ff8658e1.tvwz.xyz/wznoapi.php?token=YlJLZ0tiNXM2LzY0RTc0VzBLMU1nK2lmb3FEUlg0bm1sREhxMzVhOE43SXRDbXBaSVUrVWhoRVF5aENKd0JLQThIeVVGejlhNS9YNitDMnhsRWFZRyt0blhLYXVqZTdVR0R3R3JkT1NmMDBRbERaTERoTU02WEtNWngreWZadjA=&pw=wz
